"SITE","EventStartSampleTime","EventEndSampleTime","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable","LATITUDE","LONGITUDE","COUNTY"
"US-189 PROVO CANYON",NA,NA,0,0,0,100,0,0,40.334,-111.613,"Utah"
"US-191 @ INDIAN CANYON SUMMIT",2024-02-08 03:40:00,2024-02-08 21:00:00,0.06,1.12,17.33,0,83.81,16.19,39.886,-110.748,"Duchesne"
"US-191 @ MONTICELLO",NA,NA,0,0,0,100,0,0,37.756,-109.398,"San Juan"
"US-191 @ MP 104 FLAT IRON",NA,NA,0,0,0,100,0,0,38.318,-109.4175,"San Juan"
"US-191 @ MP 377 BASSETT SPRING",NA,NA,0,0,0,100,0,0,40.724,-109.4688,"Uinta"
"US-191 @ MP 386 WILLIE SPRING",NA,NA,0,0,0,100,0,0,40.8539,-109.46205,"Uinta"
"US-40 @ DANIELS SUMMIT",NA,NA,0,0,0,100,0,0,40.303,-111.258,"Wasatch"
"US-40 @ HEBER",NA,NA,0,0,0,100,0,0,40.564,-111.429,"Wasatch"
"US-40 @ MAYFLOWER",NA,NA,0,0,0,100,0,0,40.653,-111.457,"Summit"
"US-40 @ MP 105 MYTON",NA,NA,0,0,0,100,0,0,40.19943,-110.06792,"Duchesne"
"US-40 @ MP 140 ASPHALT RIDGE",NA,NA,0,0,0,100,0,0,40.41635,-109.58215,"Uintah"
"US-40 @ MP 66 FRUITLAND",NA,NA,0,0,0,100,0,0,40.20525,-110.77125,"Duchesne"
"US-40 @ STARVATION RESERVOIR",NA,NA,0,0,0,100,0,0,40.173,-110.493,"Duchesne"
"US-491 @ MP 2 MONTICELLO POE",NA,NA,0,0,0,100,0,0,37.873,-109.3061,"San Juan"
"US-6 @ EUREKA",2024-02-09 12:20:00,2024-02-09 18:30:00,0.46,2.86,6.17,34.21,52.63,13.16,39.96,-112.102,"Utah"
"US-6 @ MP 256 SR-123",NA,NA,0,0,0,100,0,0,39.526,-110.5744,"Carbon"
"US-6 @ RED NARROWS",NA,NA,0,0,0,100,0,0,39.989,-111.37,"Utah"
"US-6 @ SOLDIER SUMMIT",NA,NA,0,0,0,100,0,0,39.928,-111.083,"Utah"
"US-89 @ MP 104 LONG VALLEY JCT",NA,NA,0,0,0,100,0,0,37.49065,-112.51165,"Kane"
"US-89 @ MP 254 SOUTH MANTI",NA,NA,0,0,0,100,0,0,39.2434,-111.6523,"Sanpete"
"US-89 @ MP 290 HILLTOP",NA,NA,0,0,0,100,0,0,39.716,-111.47082,"Sanpete"
"US-89 @ MP 426.5 WILLARD",2024-02-09 02:10:00,2024-02-09 18:40:00,0.09,1.45,16.5,7,82,11,41.3906,-112.0343,"Box Elder"
"US-89 @ MP 490 NORTH SINK",2024-02-08 21:40:00,2024-02-09 13:30:00,0.53,8.47,15.83,25,59.38,15.63,41.94725,-111.4818,"Cache"
"US-89 @ SARDINE",NA,NA,0,0,0,100,0,0,41.584,-111.9532,"Cache"
"US-89 @ USU",2024-02-09 01:20:00,2024-02-09 13:10:00,0.35,4.19,11.83,16.67,80.56,2.78,41.74,-111.811,"Cache"
"US-91 @ MP 20 WELLSVILLE",2024-02-09 01:40:00,2024-02-09 14:10:00,0.27,3.32,12.5,38.16,48.68,13.16,41.6533,-111.9058,"Cache"
"US-91 @ MP 39 RICHMOND",2024-02-08 23:30:00,2024-02-09 12:20:00,0.48,6.15,12.83,28.21,60.26,11.54,41.909,-111.81445,"Cache"
"US-91 @ MP 6 MANTUA",2024-02-09 02:00:00,2024-02-09 19:30:00,0.3,5.33,17.5,35.85,56.6,7.55,41.498,-111.9028,"Box Elder"
